OBJECTID,ORGANIZATI,UNIT,SUBUNIT,SUBUNIT2,FIREID,FIRENAME,FIRENUMBER,FIRECODE,CAUSE,SPECCAUSE,STATCAUSE,SIZECLASS,SIZECLASSN,PROTECTION,FIREPROTTY,FIRETYPE,YEAR_,STARTDATED,CONTRDATED,OUTDATED,GACC,DISPATCH,GACCN,STATE,STATE_FIPS,FIPS,DLATITUDE,DLONGITUDE,TOTALACRES,TRPGENCAUS,TRPSPECCAU
154,BLM,AK,AKAFS,,83698,FA 13,,7715,,0,0,NR,0.00000000000,6,56,5,1981,,,,AKCC,Kenai-Kodiak Area Forestry,101.00000000000,Alaska,02,2.00000000000,60.53260000000,-150.45140000000,0.00000000000,0,0
155,BLM,AK,AKAFS,,80894,FA 6,,8748,,0,0,NR,0.00000000000,6,56,5,1982,,,,AKCC,Kenai-Kodiak Area Forestry,101.00000000000,Alaska,02,2.00000000000,60.81590000000,-150.00150000000,0.00000000000,0,0
159,BLM,AK,AKAFS,,80881,FA 36,,8735,,0,0,NR,0.00000000000,6,56,5,1982,,,,AKCC,Tok Area Forestry,101.00000000000,Alaska,02,2.00000000000,63.04950000000,-142.05150000000,0.00000000000,0,0
163,BLM,AK,AKAFS,,72928,403006FA1,,A002,,0,0,NR,0.00000000000,2,52,5,1984,,,,AKCC,Kenai-Kodiak Area Forestry,101.00000000000,Alaska,02,2.00000000000,57.51600000000,-154.50400000000,0.00000000000,0,0
164,BLM,AK,AKAFS,,32288,303184,,B184,,0,0,NR,0.00000000000,6,56,5,1993,,,,AKCC,Kenai-Kodiak Area Forestry,101.00000000000,Alaska,02,2.00000000000,59.53270000000,-151.42600000000,0.00000000000,0,0
165,BLM,AK,AKAFS,,59836,703050FA15,,B255,,0,0,NR,0.00000000000,3,53,5,1987,,,,AKCC,Kenai-Kodiak Area Forestry,101.00000000000,Alaska,02,2.00000000000,60.88280000000,-150.70400000000,0.00000000000,0,0
166,BLM,AK,AKAFS,,80708,FA 20,,8561,,0,0,NR,0.00000000000,6,56,5,1982,,,,AKCC,Tok Area Forestry,101.00000000000,Alaska,02,2.00000000000,63.31640000000,-141.66890000000,0.00000000000,0,0
7378,BLM,AK,AKAFS,,87768,FA 1,,8486,,0,0,NR,0.00000000000,6,56,5,1980,,,,AKCC,Upper Yukon Fire Management Zone,101.00000000000,Alaska,02,2.00000000000,65.38290000000,-147.58580000000,0.00000000000,0,0
7379,BLM,AK,AKAFS,,87774,FA 2,,8492,,0,0,NR,0.00000000000,6,56,5,1980,,,,AKCC,Upper Yukon Fire Management Zone,101.00000000000,Alaska,02,2.00000000000,66.11630000000,-147.33590000000,0.00000000000,0,0
7380,BLM,AK,AKAFS,,87775,FA 3,,8493,,0,0,NR,0.00000000000,6,56,5,1980,,,,AKCC,Galena Fire Management Zone,101.00000000000,Alaska,02,2.00000000000,64.74940000000,-157.36920000000,0.00000000000,0,0
7381,BLM,AK,AKAFS,,87778,FA 4,,8496,,0,0,NR,0.00000000000,1,51,5,1980,,,,AKCC,Fairbanks Area Forestry,101.00000000000,Alaska,02,2.00000000000,63.63290000000,-148.56900000000,0.00000000000,0,0
7382,BLM,AK,AKAFS,,87793,FA 5,,8511,,0,0,NR,0.00000000000,6,56,5,1980,,,,AKCC,Tok Area Forestry,101.00000000000,Alaska,02,2.00000000000,63.69960000000,-144.33560000000,0.00000000000,0,0
7383,BLM,AK,AKAFS,,87833,FA 6,,8551,,0,0,NR,0.00000000000,6,56,5,1980,,,,AKCC,Tok Area Forestry,101.00000000000,Alaska,02,2.00000000000,62.78300000000,-142.13550000000,0.00000000000,0,0
7384,BLM,AK,AKAFS,,87868,FA 7,,8586,,0,0,NR,0.00000000000,6,56,5,1980,,,,AKCC,Tanana Fire Management Zone,101.00000000000,Alaska,02,2.00000000000,64.91620000000,-149.96910000000,0.00000000000,0,0
7385,BLM,AK,AKAFS,,87880,FA 8,,8598,,0,0,NR,0.00000000000,6,56,5,1980,,,,AKCC,Upper Yukon Fire Management Zone,101.00000000000,Alaska,02,2.00000000000,66.69970000000,-144.68600000000,0.00000000000,0,0
7386,BLM,AK,AKAFS,,83615,FA 1,,7629,,0,0,NR,0.00000000000,1,51,5,1981,,,,AKCC,Southwest District Forestry,101.00000000000,Alaska,02,2.00000000000,63.08270000000,-156.00240000000,0.00000000000,0,0
7387,BLM,AK,AKAFS,,83627,FA 3,,7642,,0,0,NR,0.00000000000,6,56,5,1981,,,,AKCC,Southwest District Forestry,101.00000000000,Alaska,02,2.00000000000,63.31600000000,-157.48570000000,0.00000000000,0,0
7388,BLM,AK,AKAFS,,83629,FA 4,,7644,,0,0,NR,0.00000000000,6,56,5,1981,,,,AKCC,Southwest District Forestry,101.00000000000,Alaska,02,2.00000000000,62.91600000000,-157.25240000000,0.00000000000,0,0
7389,BLM,AK,AKAFS,,83633,FA 5,,7648,,0,0,NR,0.00000000000,1,51,5,1981,,,,AKCC,Southwest District Forestry,101.00000000000,Alaska,02,2.00000000000,62.04930000000,-156.80240000000,0.00000000000,0,0
